bakim.ekipman_parametre_tanimlari;alarm_ust;decimal(18,4);NULL;;
bakim.ekipman_parametre_tanimlari;sql_tablo_adi;nvarchar(200);NULL;;
bakim.ekipman_parametre_tanimlari;sql_kolon_adi;nvarchar(200);NULL;;
bakim.ekipman_parametre_tanimlari;aktif_mi;bit;NOT NULL;;
bakim.ekipman_sayaclari;id;bigint;NOT NULL;IDENTITY;PK
bakim.ekipman_sayaclari;uuid;uniqueidentifier;NOT NULL;;
bakim.ekipman_sayaclari;ekipman_id;bigint;NOT NULL;;
bakim.ekipman_sayaclari;sayac_tipi;nvarchar(60);NOT NULL;;
bakim.ekipman_sayaclari;birim;nvarchar(40);NULL;;
bakim.ekipman_sayaclari;mevcut_deger;decimal(18,2);NULL;;
bakim.ekipman_sayaclari;son_sifirlama_tarihi;datetime2;NULL;;
bakim.ekipman_sayaclari;sql_tablo_adi;nvarchar(200);NULL;;
bakim.ekipman_sayaclari;sql_kolon_adi;nvarchar(200);NULL;;
bakim.ekipman_sayaclari;aktif_mi;bit;NOT NULL;;
bakim.ekipmanlar;id;bigint;NOT NULL;IDENTITY;PK
bakim.ekipmanlar;uuid;uniqueidentifier;NOT NULL;;
bakim.ekipmanlar;ekipman_kodu;nvarchar(100);NOT NULL;;
bakim.ekipmanlar;ekipman_adi;nvarchar(300);NOT NULL;;
bakim.ekipmanlar;ekipman_tipi_id;bigint;NOT NULL;;
bakim.ekipmanlar;ust_ekipman_id;bigint;NULL;;
bakim.ekipmanlar;hat_id;bigint;NULL;;
bakim.ekipmanlar;pozisyon_id;bigint;NULL;;
bakim.ekipmanlar;robot_id;bigint;NULL;;
bakim.ekipmanlar;lokasyon;nvarchar(200);NULL;;
bakim.ekipmanlar;marka;nvarchar(100);NULL;;
bakim.ekipmanlar;model;nvarchar(100);NULL;;
bakim.ekipmanlar;seri_no;nvarchar(100);NULL;;
bakim.ekipmanlar;uretici;nvarchar(200);NULL;;
bakim.ekipmanlar;tedarikci_id;bigint;NULL;;
bakim.ekipmanlar;kurulum_tarihi;date;NULL;;
bakim.ekipmanlar;garanti_bitis;date;NULL;;
bakim.ekipmanlar;satinalma_tarihi;date;NULL;;
bakim.ekipmanlar;satinalma_fiyati;decimal(18,2);NULL;;
bakim.ekipmanlar;kritiklik;nvarchar(40);NULL;;
bakim.ekipmanlar;durum;nvarchar(60);NULL;;
bakim.ekipmanlar;teknik_ozellikler;nvarchar(MAX);NULL;;
bakim.ekipmanlar;guc_kw;decimal(10,2);NULL;;
bakim.ekipmanlar;kapasite;nvarchar(100);NULL;;
bakim.ekipmanlar;dokuman_yolu;nvarchar(1000);NULL;;
bakim.ekipmanlar;resim_yolu;nvarchar(1000);NULL;;
bakim.ekipmanlar;notlar;nvarchar(MAX);NULL;;
bakim.ekipmanlar;aktif_mi;bit;NOT NULL;;
bakim.ekipmanlar;olusturma_tarihi;datetime2;NOT NULL;;
bakim.ekipmanlar;guncelleme_tarihi;datetime2;NOT NULL;;
bakim.ekipmanlar;olusturan_id;bigint;NULL;;
bakim.ekipmanlar;guncelleyen_id;bigint;NULL;;
bakim.ekipmanlar;silindi_mi;bit;NOT NULL;;
bakim.ekipmanlar;silinme_tarihi;datetime2;NULL;;
bakim.ekipmanlar;silen_id;bigint;NULL;;
bakim.periyodik_bakim_planlari;id;bigint;NOT NULL;IDENTITY;PK
bakim.periyodik_bakim_planlari;uuid;uniqueidentifier;NOT NULL;;
bakim.periyodik_bakim_planlari;plan_kodu;nvarchar(60);NOT NULL;;
bakim.periyodik_bakim_planlari;plan_adi;nvarchar(200);NOT NULL;;
bakim.periyodik_bakim_planlari;ekipman_id;bigint;NULL;;
bakim.periyodik_bakim_planlari;pozisyon_id;bigint;NULL;;
bakim.periyodik_bakim_planlari;robot_id;bigint;NULL;;
bakim.periyodik_bakim_planlari;bakim_tipi;nvarchar(60);NOT NULL;;
bakim.periyodik_bakim_planlari;periyot_gun;int;NULL;;
bakim.periyodik_bakim_planlari;periyot_calisma_saati;int;NULL;;
bakim.periyodik_bakim_planlari;periyot_sayac;decimal(18,2);NULL;;
bakim.periyodik_bakim_planlari;son_bakim_tarihi;date;NULL;;
bakim.periyodik_bakim_planlari;son_bakim_sayac;decimal(18,2);NULL;;
bakim.periyodik_bakim_planlari;sonraki_bakim_tarihi;date;NOT NULL;;
bakim.periyodik_bakim_planlari;sonraki_bakim_sayac;decimal(18,2);NULL;;
bakim.periyodik_bakim_planlari;tahmini_sure_dk;int;NULL;;
bakim.periyodik_bakim_planlari;talimat;nvarchar(MAX);NULL;;
bakim.periyodik_bakim_planlari;kontrol_listesi;nvarchar(MAX);NULL;;
bakim.periyodik_bakim_planlari;sorumlu_departman_id;bigint;NULL;;
bakim.periyodik_bakim_planlari;maliyet_tahmini;decimal(18,2);NULL;;
bakim.periyodik_bakim_planlari;uyari_gun_oncesi;int;NULL;;
bakim.periyodik_bakim_planlari;kritik_mi;bit;NULL;;
bakim.periyodik_bakim_planlari;aktif_mi;bit;NOT NULL;;
bakim.periyodik_bakim_planlari;olusturma_tarihi;datetime2;NOT NULL;;
bakim.periyodik_bakim_planlari;guncelleme_tarihi;datetime2;NOT NULL;;
bakim.periyodik_bakim_planlari;olusturan_id;bigint;NULL;;
bakim.periyodik_bakim_planlari;guncelleyen_id;bigint;NULL;;
bakim.yedek_parcalar;id;bigint;NOT NULL;IDENTITY;PK
bakim.yedek_parcalar;uuid;uniqueidentifier;NOT NULL;;
bakim.yedek_parcalar;urun_id;bigint;NOT NULL;;
bakim.yedek_parcalar;ekipman_id;bigint;NULL;;
bakim.yedek_parcalar;kritik_mi;bit;NULL;;
bakim.yedek_parcalar;min_stok;decimal(10,2);NULL;;
bakim.yedek_parcalar;tedarik_suresi_gun;int;NULL;;
dbo.CariKartlari;id;int;NOT NULL;IDENTITY;PK
dbo.CariKartlari;hesap_kodu;nvarchar(100);NOT NULL;;
dbo.CariKartlari;unvani;nvarchar(510);NULL;;
dbo.CariKartlari;kisa_unvan;nvarchar(200);NULL;;
dbo.CariKartlari;tip_no;int;NULL;;
dbo.CariKartlari;tip_adi;nvarchar(200);NULL;;
dbo.CariKartlari;yetkili;nvarchar(200);NULL;;
dbo.CariKartlari;telefon;nvarchar(100);NULL;;
dbo.CariKartlari;cep_tel;nvarchar(100);NULL;;
dbo.CariKartlari;fax;nvarchar(100);NULL;;
dbo.CariKartlari;email;nvarchar(200);NULL;;
dbo.CariKartlari;web;nvarchar(400);NULL;;
dbo.CariKartlari;sehir;nvarchar(100);NULL;;
dbo.CariKartlari;ilce;nvarchar(100);NULL;;
dbo.CariKartlari;fatura_adresi;nvarchar(1000);NULL;;
dbo.CariKartlari;sevk_adresi;nvarchar(1000);NULL;;
dbo.CariKartlari;vergi_dairesi;nvarchar(200);NULL;;
dbo.CariKartlari;vergi_no;nvarchar(40);NULL;;
dbo.CariKartlari;vade_gun;int;NULL;;
dbo.CariKartlari;odeme_sekli;nvarchar(100);NULL;;
dbo.CariKartlari;aktif;bit;NULL;;
dbo.CariKartlari;meta_kaynak;bit;NULL;;
dbo.CariKartlari;olusturma_tarihi;datetime;NULL;;
dbo.CariKartlari;guncelleme_tarihi;datetime;NULL;;
dbo.Personel;id;bigint;NOT NULL;IDENTITY;PK
dbo.Personel;uuid;uniqueidentifier;NOT NULL;;
dbo.Personel;sicil_no;nvarchar(100);NULL;;
dbo.Personel;kart_no;nvarchar(100);NULL;;
